condition,y,sens,cell_line,product_name,target
"Cerdulatinib(PRT062070,PRT2070)",0.22992059195874903,0.22992059195874903,A549,"Cerdulatinib (PRT062070, PRT2070)",JAK2+ctrl
Cimetidine,0.392074095596072,0.392074095596072,A549,Cimetidine,HRH1+ctrl
Clevudine,0.0,0.0,A549,Clevudine,
Costunolide,0.0,0.0,A549,Costunolide,
Crizotinib(PF-02341066),0.448530890931073,0.448530890931073,A549,Crizotinib (PF-02341066),ALK+ctrl
Curcumin,0.0,0.0,A549,Curcumin,NFKB1+HDAC8
CyclocytidineHCl,0.278391062137595,0.278391062137595,A549,Cyclocytidine HCl,
Dacinostat(LAQ824),0.3013083763830091,0.3013083763830091,A549,Dacinostat (LAQ824),HDAC8+ctrl
Danusertib(PHA-739358),0.250951522708308,0.250951522708308,A549,Danusertib (PHA-739358),AURKA+ctrl
Daphnetin,0.0,0.0,A549,Daphnetin,EGFR+ctrl
Dasatinib,0.2840048088826759,0.2840048088826759,A549,Dasatinib,BCR+ctrl
Decitabine,7.932922293996114e-05,7.932922293996114e-05,A549,Decitabine,
Disulfiram,0.0,0.0,A549,Disulfiram,ALDH2+ctrl
DivalproexSodium,0.06776367907288205,0.06776367907288205,A549,Divalproex Sodium,HDAC8+ctrl
Droxinostat,7.010585388200763e-05,7.010585388200763e-05,A549,Droxinostat,HDAC8+ctrl
EED226,2.5071545179944366e-06,2.5071545179944366e-06,A549,EED226,EED+ctrl
ENMD-2076,0.3905340889176,0.3905340889176,A549,ENMD-2076,AURKA+FLT1
ENMD-2076L-(+)-Tartaricacid,0.34713218172898497,0.34713218172898497,A549,ENMD-2076 L-(+)-Tartaric acid,AURKA+ctrl
Ellagicacid,1.2146414671843075e-06,1.2146414671843075e-06,A549,Ellagic acid,TOP2A+ctrl
Entacapone,0.004595148722796982,0.004595148722796982,A549,Entacapone,ASH1L+ctrl
Entinostat(MS-275),0.05647164660431703,0.05647164660431703,A549,Entinostat (MS-275),HDAC8+ctrl
Enzastaurin(LY317615),0.00010927722608800039,0.00010927722608800039,A549,Enzastaurin (LY317615),PRKCA+ctrl
EpothiloneA,0.0009079210655339454,0.0009079210655339454,A549,Epothilone A,
FLLL32,9.727055623964809e-06,9.727055623964809e-06,A549,FLLL32,JAK2+ctrl
Fasudil(HA-1077)HCl,0.0,0.0,A549,Fasudil (HA-1077) HCl,ROCK1+ctrl
"Fedratinib(SAR302503,TG101348)",0.547725643348077,0.547725643348077,A549,"Fedratinib (SAR302503, TG101348)",JAK2+ctrl
Filgotinib(GLPG0634),0.0,0.0,A549,Filgotinib (GLPG0634),JAK2+ctrl
FlavopiridolHCl,0.4050791548837571,0.4050791548837571,A549,Flavopiridol HCl,CDK1+ctrl
"Fluorouracil(5-Fluoracil,5-FU)",0.23177211080651794,0.23177211080651794,A549,"Fluorouracil (5-Fluoracil, 5-FU)",TERT+ctrl
Fulvestrant,0.0,0.0,A549,Fulvestrant,ESR1+ctrl
G007-LK,0.08158346758222601,0.08158346758222601,A549,G007-LK,PARP1+ctrl
GSK-LSD12HCl,4.873452532749845e-06,4.873452532749845e-06,A549,GSK-LSD1 2HCl,KDM1A+ctrl
GSK1070916,0.004191564448499219,0.004191564448499219,A549,GSK1070916,AURKA+ctrl
GSKJ1,0.0006870328238119949,0.0006870328238119949,A549,GSK J1,KDM1A+ctrl
Gandotinib(LY2784544),0.35706736137640394,0.35706736137640394,A549,Gandotinib (LY2784544),JAK2+ctrl
Givinostat(ITF2357),0.24836699564028697,0.24836699564028697,A549,Givinostat (ITF2357),HDAC8+ctrl
Glesatinib?(MGCD265),0.22051862776653697,0.22051862776653697,A549,Glesatinib?(MGCD265),VEGFB+ctrl
Hesperadin,0.0,0.0,A549,Hesperadin,AURKA+ctrl
INO-1001(3-Aminobenzamide),3.836681577995549e-05,3.836681577995549e-05,A549,INO-1001 (3-Aminobenzamide),PARP1+ctrl
IOX2,0.0,0.0,A549,IOX2,HIF1A+ctrl
ITSA-1(ITSA1),2.3274058273958786e-05,2.3274058273958786e-05,A549,ITSA-1 (ITSA1),HDAC8+ctrl
Iniparib(BSI-201),0.00017638304312717068,0.00017638304312717068,A549,Iniparib (BSI-201),PARP1+ctrl
Ivosidenib(AG-120),0.6653340484003369,0.6653340484003369,A549,Ivosidenib (AG-120),IDH1+ctrl
JNJ-26854165(Serdemetan),0.0,0.0,A549,JNJ-26854165 (Serdemetan),TP53+ctrl
JNJ-7706621,0.277257808016277,0.277257808016277,A549,JNJ-7706621,AURKA+CDK1
KW-2449,0.563480363108765,0.563480363108765,A549,KW-2449,AURKA+ctrl
Ki16425,4.253691256006498e-06,4.253691256006498e-06,A549,Ki16425,LPAR1+ctrl
Ki8751,0.0,0.0,A549,Ki8751,FLT1+ctrl
Lapatinib(GW-572016)Ditosylate,0.4191060590012671,0.4191060590012671,A549,Lapatinib (GW-572016) Ditosylate,EGFR+ERBB2
Lenalidomide(CC-5013),0.23064674232929205,0.23064674232929205,A549,Lenalidomide (CC-5013),
Linifanib(ABT-869),0.0,0.0,A549,Linifanib (ABT-869),CSF1R+FLT1
Lomustine,0.0,0.0,A549,Lomustine,STMN4+ctrl
"Luminespib(AUY-922,NVP-AUY922)",0.13172137964295705,0.13172137964295705,A549,"Luminespib (AUY-922, NVP-AUY922)",HSP90B1+ctrl
M344,0.30571455987545204,0.30571455987545204,A549,M344,HDAC8+ctrl
MC1568,0.0,0.0,A549,MC1568,HDAC8+ctrl
MK-0752,2.3628362138983228e-05,2.3628362138983228e-05,A549,MK-0752,
MK-5108(VX-689),0.45208903952549506,0.45208903952549506,A549,MK-5108 (VX-689),AURKA+ctrl
MLN8054,0.260467967869785,0.260467967869785,A549,MLN8054,AURKA+ctrl
Maraviroc,0.0,0.0,A549,Maraviroc,CCR5+ctrl
Meprednisone,0.0,0.0,A549,Meprednisone,NR3C1+ctrl
Mercaptopurine(6-MP),0.29566191956465404,0.29566191956465404,A549,Mercaptopurine (6-MP),HPRT1+ctrl
Mesna,1.4999686982042348e-05,1.4999686982042348e-05,A549,Mesna,
Mocetinostat(MGCD0103),0.00037920249159495434,0.00037920249159495434,A549,Mocetinostat (MGCD0103),HDAC8+ctrl
Momelotinib(CYT387),0.410455574566989,0.410455574566989,A549,Momelotinib (CYT387),JAK2+ctrl
MotesanibDiphosphate(AMG-706),0.0,0.0,A549,Motesanib Diphosphate (AMG-706),FLT1+ctrl
NVP-BSK8052HCl,0.005494963641339168,0.005494963641339168,A549,NVP-BSK805 2HCl,JAK2+ctrl
Navitoclax(ABT-263),0.0,0.0,A549,Navitoclax (ABT-263),BCL2+ctrl
Nilotinib(AMN-107),5.45437044996433e-06,5.45437044996433e-06,A549,Nilotinib (AMN-107),ABL1+ctrl
Nintedanib(BIBF1120),0.16684364742231994,0.16684364742231994,A549,Nintedanib (BIBF 1120),FGFR1+FLT1
ObatoclaxMesylate(GX15-070),0.17057966416094195,0.17057966416094195,A549,Obatoclax Mesylate (GX15-070),BCL2+ctrl
Ofloxacin,0.0017688760568660422,0.0017688760568660422,A549,Ofloxacin,TOP2A+ctrl
PCI-34051,0.138116677279851,0.138116677279851,A549,PCI-34051,HDAC8+ctrl
PD173074,0.0,0.0,A549,PD173074,FGFR1+ctrl
PD98059,0.0,0.0,A549,PD98059,MAP2K1+ctrl
PF-3845,0.18318061043366085,0.18318061043366085,A549,PF-3845,FAAH+ctrl
PF-573228,3.259668360999779e-05,3.259668360999779e-05,A549,PF-573228,PTK2+ctrl
PFI-1(PF-6405761),0.0,0.0,A549,PFI-1 (PF-6405761),BET1+ctrl
PHA-680632,0.029391278602007964,0.029391278602007964,A549,PHA-680632,AURKA+ctrl
PJ34,0.06744245304557417,0.06744245304557417,A549,PJ34,PARP1+ctrl
Panobinostat(LBH589),0.25929592722524897,0.25929592722524897,A549,Panobinostat (LBH589),HDAC8+ctrl
"Patupilone(EPO906,EpothiloneB)",0.0011886009813719678,0.0011886009813719678,A549,"Patupilone (EPO906, Epothilone B)",
Pelitinib(EKB-569),0.20039888230478586,0.20039888230478586,A549,Pelitinib (EKB-569),EGFR+ctrl
Pirarubicin,0.49989537455588506,0.49989537455588506,A549,Pirarubicin,TOP2A+ctrl
Pracinostat(SB939),0.21056712908729192,0.21056712908729192,A549,Pracinostat (SB939),HDAC8+ctrl
Prednisone,0.0,0.0,A549,Prednisone,NR3C1+ctrl
Quercetin,0.03530105182730925,0.03530105182730925,A549,Quercetin,SRC+ctrl
Quisinostat(JNJ-26481585)2HCl,0.347704801473704,0.347704801473704,A549,Quisinostat (JNJ-26481585) 2HCl,HDAC8+ctrl
RG108,0.0,0.0,A549,RG108,DNMT1+ctrl
Raltitrexed,0.23915304490419398,0.23915304490419398,A549,Raltitrexed,TYMS+ctrl
Ramelteon,0.005032303362719981,0.005032303362719981,A549,Ramelteon,MTNR1A+ctrl
Regorafenib(BAY73-4506),0.541239731149497,0.541239731149497,A549,Regorafenib (BAY 73-4506),RET+FLT1
Resminostat,0.2624258935103341,0.2624258935103341,A549,Resminostat,HDAC8+ctrl
Resveratrol,0.045303295903113994,0.045303295903113994,A549,Resveratrol,SIRT1+ctrl
Rigosertib(ON-01910),0.832790134460189,0.832790134460189,A549,Rigosertib (ON-01910),PLK1+ctrl
"Roscovitine(Seliciclib,CYC202)",0.008077800779957012,0.008077800779957012,A549,"Roscovitine (Seliciclib,CYC202)",CDK1+ctrl
Roxadustat(FG-4592),0.0,0.0,A549,Roxadustat (FG-4592),HIF1A+ctrl
"Rucaparib(AG-014699,PF-01367338)phosphate",0.143035797680662,0.143035797680662,A549,"Rucaparib (AG-014699,PF-01367338) phosphate",PARP1+ctrl
Ruxolitinib(INCB018424),0.0,0.0,A549,Ruxolitinib (INCB018424),JAK2+ctrl
S-Ruxolitinib(INCB018424),0.0,0.0,A549,S-Ruxolitinib (INCB018424),JAK2+ctrl
S3I-201,0.004140103512467963,0.004140103512467963,A549,S3I-201,STAT3+ctrl
SB431542,7.384092516404817e-05,7.384092516404817e-05,A549,SB431542,TGFB1+ctrl
SGI-1776freebase,0.20314073269743504,0.20314073269743504,A549,SGI-1776 free base,PIM1+ctrl
SL-327,0.08241074392407399,0.08241074392407399,A549,SL-327,MAP2K1+ctrl
SNS-314,0.00014496600837998752,0.00014496600837998752,A549,SNS-314,AURKA+ctrl
SRT1720HCl,0.0,0.0,A549,SRT1720 HCl,SIRT1+ctrl
SRT2104(GSK2245840),8.298329150835393e-06,8.298329150835393e-06,A549,SRT2104 (GSK2245840),SIRT2+ctrl
SRT3025HCl,0.13957543745509704,0.13957543745509704,A549,SRT3025 HCl,SIRT1+ctrl
Selisistat(EX527),0.0,0.0,A549,Selisistat (EX 527),SIRT1+ctrl
Sirtinol,0.0,0.0,A549,Sirtinol,SIRT1+ctrl
SodiumPhenylbutyrate,0.0,0.0,A549,Sodium Phenylbutyrate,HDAC8+ctrl
SorafenibTosylate,0.42975923206393196,0.42975923206393196,A549,Sorafenib Tosylate,RAF1+FLT1
Streptozotocin(STZ),0.026041827708847998,0.026041827708847998,A549,Streptozotocin (STZ),
TAK-901,0.39579945660694804,0.39579945660694804,A549,TAK-901,AURKA+ctrl
TG101209,0.48552515787307504,0.48552515787307504,A549,TG101209,JAK2+ctrl
TGX-221,0.030448159028546806,0.030448159028546806,A549,TGX-221,PIK3CA+ctrl
TMP195,0.0,0.0,A549,TMP195,HDAC8+ctrl
Tacedinaline(CI994),0.0,0.0,A549,Tacedinaline (CI994),HDAC8+ctrl
Tanespimycin(17-AAG),0.491112186081452,0.491112186081452,A549,Tanespimycin (17-AAG),HSP90B1+ctrl
Tazemetostat(EPZ-6438),2.4261636929479025e-06,2.4261636929479025e-06,A549,Tazemetostat (EPZ-6438),ASH1L+ctrl
"Temsirolimus(CCI-779,NSC683864)",6.62532503191704e-05,6.62532503191704e-05,A549,"Temsirolimus (CCI-779, NSC 683864)",MTOR+ctrl
Thalidomide,0.016545484458498017,0.016545484458498017,A549,Thalidomide,TNFAIP8+ctrl
Thiotepa,0.2054485935284771,0.2054485935284771,A549,Thiotepa,
Tie2kinaseinhibitor,0.0,0.0,A549,Tie2 kinase inhibitor,TEK+ctrl
Tofacitinib(CP-690550)Citrate,1.1857705353168768e-05,1.1857705353168768e-05,A549,Tofacitinib (CP-690550) Citrate,JAK2+ctrl
ToremifeneCitrate,0.6552956524214331,0.6552956524214331,A549,Toremifene Citrate,ESR1+ctrl
"Tozasertib(VX-680,MK-0457)",4.040153737228103e-06,4.040153737228103e-06,A549,"Tozasertib (VX-680, MK-0457)",AURKA+ctrl
Trametinib(GSK1120212),7.307198531925074e-05,7.307198531925074e-05,A549,Trametinib (GSK1120212),MAP2K1+ctrl
Tranylcypromine(2-PCPA)HCl,0.0,0.0,A549,Tranylcypromine (2-PCPA) HCl,MAOA+ctrl
TriamcinoloneAcetonide,0.0,0.0,A549,Triamcinolone Acetonide,NR3C1+ctrl
TrichostatinA(TSA),0.30216877736661996,0.30216877736661996,A549,Trichostatin A (TSA),HDAC8+ctrl
TubastatinAHCl,0.0,0.0,A549,Tubastatin A HCl,HDAC8+ctrl
Tucidinostat(Chidamide),4.1997403057214555e-05,4.1997403057214555e-05,A549,Tucidinostat (Chidamide),HDAC8+ctrl
UNC0379,0.351496479110043,0.351496479110043,A549,UNC0379,ASH1L+ctrl
UNC0631,0.011335635229994812,0.011335635229994812,A549,UNC0631,ASH1L+ctrl
UNC1999,0.0,0.0,A549,UNC1999,ASH1L+ctrl
Valproicacidsodiumsalt(Sodiumvalproate),0.0,0.0,A549,Valproic acid sodium salt (Sodium valproate),HDAC8+ctrl
Vandetanib(ZD6474),0.19950913775733914,0.19950913775733914,A549,Vandetanib (ZD6474),FLT1+ctrl
Veliparib(ABT-888),0.001893618454628987,0.001893618454628987,A549,Veliparib (ABT-888),PARP1+ctrl
WHI-P154,0.0037909193143147446,0.0037909193143147446,A549,WHI-P154,EGFR+JAK2
WP1066,0.0,0.0,A549,WP1066,JAK2+ctrl
XAV-939,0.018116869272192027,0.018116869272192027,A549,XAV-939,TNKS+ctrl
YM155(SepantroniumBromide),0.711218867914762,0.711218867914762,A549,YM155 (Sepantronium Bromide),BIRC5+ctrl
ZM447439,0.2396078481764159,0.2396078481764159,A549,ZM 447439,AURKA+ctrl
Zileuton,0.006999398872400753,0.006999398872400753,A549,Zileuton,ALOX5+ctrl
(+)-JQ1,0.34359576103032297,0.34359576103032297,K562,(+)-JQ1,BRD4+ctrl
2-Methoxyestradiol(2-MeOE2),0.6098033638358851,0.6098033638358851,K562,2-Methoxyestradiol (2-MeOE2),HIF1A+ctrl
A-366,0.0,0.0,K562,A-366,ASH1L+ctrl
ABT-737,0.28738770244188805,0.28738770244188805,K562,ABT-737,BCL2+ctrl
AC480(BMS-599626),0.289629210419325,0.289629210419325,K562,AC480 (BMS-599626),EGFR+ERBB2
AG-14361,0.0,0.0,K562,AG-14361,PARP1+ctrl
AG-490(TyrphostinB42),0.0,0.0,K562,AG-490 (Tyrphostin B42),EGFR+ctrl
AICAR(Acadesine),0.0,0.0,K562,AICAR (Acadesine),PRKAA2+ctrl
AMG-900,1.6778961935193237e-05,1.6778961935193237e-05,K562,AMG-900,AURKA+ctrl
AR-42,0.6201740784930629,0.6201740784930629,K562,AR-42,HDAC8+ctrl
AT9283,0.45707316367598605,0.45707316367598605,K562,AT9283,AURKA+JAK2
AZ960,0.36177182473550795,0.36177182473550795,K562,AZ 960,JAK2+ctrl
AZD1480,0.546555873917968,0.546555873917968,K562,AZD1480,JAK2+ctrl
Abexinostat(PCI-24781),0.5424746417488431,0.5424746417488431,K562,Abexinostat (PCI-24781),HDAC8+ctrl
Alendronatesodiumtrihydrate,0.10079896402146693,0.10079896402146693,K562,Alendronate sodium trihydrate,FDPS+ctrl
Alisertib(MLN8237),0.0003496196554270137,0.0003496196554270137,K562,Alisertib (MLN8237),AURKA+ctrl
Altretamine,0.16708644110187898,0.16708644110187898,K562,Altretamine,
Alvespimycin(17-DMAG)HCl,0.634529532038365,0.634529532038365,K562,Alvespimycin (17-DMAG) HCl,HSP90B1+ctrl
Aminoglutethimide,0.0,0.0,K562,Aminoglutethimide,CYP19A1+ctrl
Amisulpride,0.0,0.0,K562,Amisulpride,DRD1+ctrl
AnacardicAcid,0.05530202209836277,0.05530202209836277,K562,Anacardic Acid,HAT1+ctrl
Andarine,4.078420940201166e-05,4.078420940201166e-05,K562,Andarine,AR+ctrl
AuroraAInhibitorI,0.252277942575717,0.252277942575717,K562,Aurora A Inhibitor I,AURKA+ctrl
Avagacestat(BMS-708163),0.34149364852711794,0.34149364852711794,K562,Avagacestat (BMS-708163),APP+ctrl
Azacitidine,0.0,0.0,K562,Azacitidine,DNMT1+ctrl
BMS-265246,0.11419838054856402,0.11419838054856402,K562,BMS-265246,CDK1+ctrl
BMS-536924,0.187235904993587,0.187235904993587,K562,BMS-536924,IGF1R+ctrl
BMS-754807,0.22808046703741802,0.22808046703741802,K562,BMS-754807,IGF1R+ctrl
BMS-911543,0.0,0.0,K562,BMS-911543,JAK2+ctrl
BRD4770,0.089713451785147,0.089713451785147,K562,BRD4770,ASH1L+ctrl
Barasertib(AZD1152-HQPA),1.0613527319236482e-05,1.0613527319236482e-05,K562,Barasertib (AZD1152-HQPA),AURKA+ctrl
"Baricitinib(LY3009104,INCB028050)",0.0,0.0,K562,"Baricitinib (LY3009104, INCB028050)",JAK2+ctrl
Belinostat(PXD101),0.633842213008439,0.633842213008439,K562,Belinostat (PXD101),HDAC8+ctrl
BisindolylmaleimideIX(Ro31-8220Mesylate),0.895482036889681,0.895482036889681,K562,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),PRKCA+ctrl
Bosutinib(SKI-606),0.9171527062983835,0.9171527062983835,K562,Bosutinib (SKI-606),SRC+ctrl
Busulfan,0.0,0.0,K562,Busulfan,
CEP-33779,0.0,0.0,K562,CEP-33779,JAK2+ctrl
CUDC-101,0.677790311602964,0.677790311602964,K562,CUDC-101,EGFR+HDAC8
CUDC-907,0.6631669837522061,0.6631669837522061,K562,CUDC-907,HDAC8+PIK3CA
CYC116,0.161081012472704,0.161081012472704,K562,CYC116,AURKA+FLT1
Capecitabine,0.0,0.0,K562,Capecitabine,TYMS+ctrl
Carmofur,0.0,0.0,K562,Carmofur,ASAH1+ctrl
Cediranib(AZD2171),0.6610698986816239,0.6610698986816239,K562,Cediranib (AZD2171),FLT1+ctrl
Celecoxib,4.257905811799745e-05,4.257905811799745e-05,K562,Celecoxib,PTGS2+ctrl
"Cerdulatinib(PRT062070,PRT2070)",0.0,0.0,K562,"Cerdulatinib (PRT062070, PRT2070)",JAK2+ctrl
Cimetidine,0.0,0.0,K562,Cimetidine,HRH1+ctrl
Clevudine,0.0,0.0,K562,Clevudine,
Costunolide,1.3579674196240177e-07,1.3579674196240177e-07,K562,Costunolide,
Crizotinib(PF-02341066),0.6136891740608611,0.6136891740608611,K562,Crizotinib (PF-02341066),ALK+ctrl
Curcumin,0.0,0.0,K562,Curcumin,NFKB1+HDAC8
CyclocytidineHCl,0.0,0.0,K562,Cyclocytidine HCl,
Dacinostat(LAQ824),0.17230562768978597,0.17230562768978597,K562,Dacinostat (LAQ824),HDAC8+ctrl
Danusertib(PHA-739358),0.35921102820388506,0.35921102820388506,K562,Danusertib (PHA-739358),AURKA+ctrl
Daphnetin,0.08305851082796722,0.08305851082796722,K562,Daphnetin,EGFR+ctrl
Dasatinib,0.0,0.0,K562,Dasatinib,BCR+ctrl
Decitabine,0.04511783830296601,0.04511783830296601,K562,Decitabine,
Disulfiram,2.453708197180937e-06,2.453708197180937e-06,K562,Disulfiram,ALDH2+ctrl
DivalproexSodium,0.0,0.0,K562,Divalproex Sodium,HDAC8+ctrl
Droxinostat,0.0,0.0,K562,Droxinostat,HDAC8+ctrl
EED226,0.0,0.0,K562,EED226,EED+ctrl
ENMD-2076,0.295193763225449,0.295193763225449,K562,ENMD-2076,AURKA+FLT1
ENMD-2076L-(+)-Tartaricacid,0.28371110549090295,0.28371110549090295,K562,ENMD-2076 L-(+)-Tartaric acid,AURKA+ctrl
Ellagicacid,0.0,0.0,K562,Ellagic acid,TOP2A+ctrl
Entacapone,0.0,0.0,K562,Entacapone,ASH1L+ctrl
Entinostat(MS-275),0.487290002133866,0.487290002133866,K562,Entinostat (MS-275),HDAC8+ctrl
Enzastaurin(LY317615),0.00041929056274403464,0.00041929056274403464,K562,Enzastaurin (LY317615),PRKCA+ctrl
EpothiloneA,0.0,0.0,K562,Epothilone A,
FLLL32,0.5290597482516521,0.5290597482516521,K562,FLLL32,JAK2+ctrl
Fasudil(HA-1077)HCl,0.0,0.0,K562,Fasudil (HA-1077) HCl,ROCK1+ctrl
"Fedratinib(SAR302503,TG101348)",0.6776622701981281,0.6776622701981281,K562,"Fedratinib (SAR302503, TG101348)",JAK2+ctrl
Filgotinib(GLPG0634),0.0,0.0,K562,Filgotinib (GLPG0634),JAK2+ctrl
FlavopiridolHCl,0.9997987726444179,0.9997987726444179,K562,Flavopiridol HCl,CDK1+ctrl
"Fluorouracil(5-Fluoracil,5-FU)",0.0,0.0,K562,"Fluorouracil (5-Fluoracil, 5-FU)",TERT+ctrl
Fulvestrant,0.0,0.0,K562,Fulvestrant,ESR1+ctrl
G007-LK,0.0,0.0,K562,G007-LK,PARP1+ctrl
GSK-LSD12HCl,0.0,0.0,K562,GSK-LSD1 2HCl,KDM1A+ctrl
GSK1070916,0.0,0.0,K562,GSK1070916,AURKA+ctrl
GSKJ1,0.0,0.0,K562,GSK J1,KDM1A+ctrl
Gandotinib(LY2784544),5.201438536994729e-06,5.201438536994729e-06,K562,Gandotinib (LY2784544),JAK2+ctrl
Givinostat(ITF2357),0.607402152602771,0.607402152602771,K562,Givinostat (ITF2357),HDAC8+ctrl
Glesatinib?(MGCD265),0.527658731913679,0.527658731913679,K562,Glesatinib?(MGCD265),VEGFB+ctrl
Hesperadin,0.07000759998124717,0.07000759998124717,K562,Hesperadin,AURKA+ctrl
INO-1001(3-Aminobenzamide),8.888911637194852e-06,8.888911637194852e-06,K562,INO-1001 (3-Aminobenzamide),PARP1+ctrl
IOX2,0.0,0.0,K562,IOX2,HIF1A+ctrl
ITSA-1(ITSA1),4.2766405760064075e-06,4.2766405760064075e-06,K562,ITSA-1 (ITSA1),HDAC8+ctrl
Iniparib(BSI-201),0.0,0.0,K562,Iniparib (BSI-201),PARP1+ctrl
Ivosidenib(AG-120),3.9631429129549645e-06,3.9631429129549645e-06,K562,Ivosidenib (AG-120),IDH1+ctrl
JNJ-26854165(Serdemetan),5.302567352283294e-05,5.302567352283294e-05,K562,JNJ-26854165 (Serdemetan),TP53+ctrl
JNJ-7706621,0.5868867255869471,0.5868867255869471,K562,JNJ-7706621,AURKA+CDK1
KW-2449,0.19675439598187106,0.19675439598187106,K562,KW-2449,AURKA+ctrl
Ki16425,0.0951234970087792,0.0951234970087792,K562,Ki16425,LPAR1+ctrl
Ki8751,0.17731623972852095,0.17731623972852095,K562,Ki8751,FLT1+ctrl
Lapatinib(GW-572016)Ditosylate,0.30807627026100903,0.30807627026100903,K562,Lapatinib (GW-572016) Ditosylate,EGFR+ERBB2
Lenalidomide(CC-5013),7.619120459989581e-06,7.619120459989581e-06,K562,Lenalidomide (CC-5013),
Linifanib(ABT-869),0.0,0.0,K562,Linifanib (ABT-869),CSF1R+FLT1
Lomustine,0.0,0.0,K562,Lomustine,STMN4+ctrl
